Rating klienta,Stan konta,Okres,Historia,Cel,Kwota,Suma aktywów,Zatrudnienie,Rata,Stan,Płeć,Zamieszkanie,Zabezpieczenie,Wiek,Inne kredyty,Mieszkanie,Liczba kredytów,Stanowisko,Próba
zły,debet,12,brak,używany samochód,2690.8,brak,1 do 5 lat,< 15,MS,m,1-5 lat,samochód,35,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,12,brak,używany samochód,1068.2,brak,1 do 5 lat,< 15,K,k,Do roku,brak,24,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,brak,30,opóźnienia,rehabilitacja,11300.8,>1400,do roku,25-35,MS,m,5-8 lat,polisa,23,inny bank,wynajem,5- 6,wykfalifikowany,Test
dobry,brak,18,bez problemów,remont,11859.4,>1400,1 do 5 lat,> 35,K,k,1-5 lat,polisa,21,brak,inne,2- 4,wykfalifikowany,Test
zły,debet,39,spłacone,meble,6906.2,brak,5 do 8 lat,25-35,MS,m,1-5 lat,brak,23,brak,wynajem,2- 4,wykfalifikowany,Uczenie
zły,brak,24,bez problemów,meble,2322.6,brak,do roku,< 15,K,k,1-5 lat,polisa,27,brak,inne,jeden,niewykfalifikowany stała praca,Test
dobry,debet,39,bez problemów,remont,16464,<140,5 do 8 lat,25-35,MS,m,5-8 lat,nieruchomość,30,brak,inne,jeden,wykfalifikowany,Test
zły,>$300,48,spłacone,nowy samochód,16226,<140,1 do 5 lat,25-35,K,k,>8 lat,polisa,22,brak,inne,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,>$300,15,brak,meble,1698.2,140-700,Ponad 8,< 15,MS,m,5-8 lat,samochód,45,sklep,wynajem,jeden,wykfalifikowany,Test
zły,debet,21,brak,rehabilitacja,1663.2,brak,Ponad 8,25-35,K,k,>8 lat,samochód,37,brak,wynajem,jeden,wykfalifikowany,Test
zły,brak,15,brak,inny,5542.6,brak,1 do 5 lat,15- 25,K,k,1-5 lat,samochód,27,brak,wynajem,jeden,wykfalifikowany,Test
zły,debet,9,spłacone,remont,1590.4,700-1400,Ponad 8,< 15,MS,m,5-8 lat,nieruchomość,30,brak,własne,2- 4,wykfalifikowany,Uczenie
dobry,>$300,10,spłacone,używany samochód,3004.4,brak,do roku,> 35,K,k,5-8 lat,brak,21,brak,inne,2- 4,wykfalifikowany,Uczenie
dobry,brak,24,brak,używany samochód,2445.8,brak,do roku,< 15,MS,m,Do roku,samochód,22,brak,wynajem,jeden,niewykfalifikowany stała praca,Test
dobry,>$300,15,brak,inny,4978.4,>1400,1 do 5 lat,15- 25,MS,m,1-5 lat,nieruchomość,27,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,42,bez problemów,meble,6118,brak,5 do 8 lat,15- 25,MS,m,1-5 lat,samochód,24,inny bank,wynajem,2- 4,wykfalifikowany,Test
zły,debet,15,inny bank,inny,9590,<140,bezrobotny,> 35,MS,m,1-5 lat,samochód,32,sklep,wynajem,jeden,specjalista/samozatr.,Test
dobry,>$300,11,spłacone,inny,1950.2,brak,do roku,< 15,K,k,>8 lat,polisa,33,brak,wynajem,2- 4,specjalista/samozatr.,Uczenie
dobry,brak,15,brak,inny,3515.4,brak,bezrobotny,> 35,K,k,>8 lat,polisa,21,brak,inne,jeden,wykfalifikowany,Uczenie
zły,debet,48,opóźnienia,rehabilitacja,20189.4,brak,1 do 5 lat,25-35,MS,m,1-5 lat,polisa,23,sklep,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,48,spłacone,nowy samochód,8600.2,brak,Ponad 8,< 15,K,k,>8 lat,nieruchomość,56,sklep,własne,2- 4,niewykfalifikowany stała praca,Test
zły,debet,30,bez problemów,meble,2686.6,<140,do roku,< 15,MS,m,5-8 lat,nieruchomość,28,sklep,wynajem,2- 4,specjalista/samozatr.,Test
zły,>$300,12,spłacone,meble,1115.8,>1400,Ponad 8,< 15,K,k,5-8 lat,samochód,31,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,brak,12,brak,meble,1549.8,brak,1 do 5 lat,25-35,MS,m,1-5 lat,brak,18,brak,inne,jeden,specjalista/samozatr.,Test
zły,brak,9,brak,meble,1912.4,brak,do roku,15- 25,K,k,>8 lat,samochód,20,brak,inne,jeden,wykfalifikowany,Uczenie
dobry,<= $300,18,inny bank,meble,2023,>1400,5 do 8 lat,< 15,MS,m,>8 lat,polisa,47,inny bank,wynajem,jeden,niewykfalifikowany stała praca,Test
zły,debet,48,bez problemów,remont,8713.6,brak,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,48,brak,własne,jeden,wykfalifikowany,Uczenie
zły,debet,24,brak,nowy samochód,16184,brak,1 do 5 lat,> 35,K,k,>8 lat,polisa,21,brak,inne,2- 4,specjalista/samozatr.,Uczenie
dobry,debet,13,brak,meble,2941.4,brak,do roku,25-35,K,k,>8 lat,samochód,21,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,21,spłacone,nowy samochód,4585,brak,Ponad 8,> 35,MS,m,>8 lat,polisa,34,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,debet,8,brak,meble,1979.6,brak,1 do 5 lat,< 15,MS,m,1-5 lat,brak,31,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,6,brak,meble,826,brak,do roku,15- 25,MŻW,m,5-8 lat,brak,24,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,brak,12,spłacone,nowy samochód,1972.6,brak,Ponad 8,< 15,MS,m,5-8 lat,brak,52,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,12,brak,nowy samochód,2839.2,>1400,1 do 5 lat,< 15,MS,m,1-5 lat,polisa,28,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,12,brak,używany samochód,2475.2,brak,1 do 5 lat,15- 25,MS,m,1-5 lat,brak,22,brak,inne,jeden,niewykfalifikowany stała praca,Uczenie
dobry,brak,24,brak,business,2457,brak,Ponad 8,< 15,K,k,>8 lat,brak,56,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
zły,debet,12,brak,inny,1712.2,brak,Ponad 8,> 35,MR,m,Do roku,brak,44,brak,inne,2- 4,wykfalifikowany,Uczenie
zły,brak,6,brak,inny,20854.4,brak,Ponad 8,> 35,MS,m,>8 lat,nieruchomość,66,inny bank,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,brak,24,brak,nowy samochód,9210.6,brak,bezrobotny,< 15,MS,m,1-5 lat,nieruchomość,27,brak,własne,jeden,specjalista/samozatr.,Uczenie
dobry,debet,24,bez problemów,rehabilitacja,9753.8,<140,5 do 8 lat,< 15,MS,m,>8 lat,polisa,34,brak,inne,jeden,specjalista/samozatr.,Test
zły,brak,12,brak,inny,1783.6,brak,do roku,15- 25,K,k,Do roku,brak,35,inny bank,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,24,bez problemów,rehabilitacja,5408.2,brak,1 do 5 lat,> 35,MS,m,1-5 lat,nieruchomość,30,brak,własne,jeden,wykfalifikowany,Uczenie
dobry,brak,24,brak,nowy samochód,4093.6,brak,1 do 5 lat,15- 25,MS,m,>8 lat,nieruchomość,61,inny bank,wynajem,jeden,wykfalifikowany,Uczenie
zły,<= $300,12,spłacone,inny,1314.6,140-700,5 do 8 lat,< 15,MŻW,m,1-5 lat,brak,26,brak,wynajem,5- 6,wykfalifikowany,Uczenie
zły,brak,24,inny bank,używany samochód,4688.6,140-700,do roku,< 15,MS,m,>8 lat,nieruchomość,28,brak,własne,jeden,wykfalifikowany,Test
dobry,debet,18,brak,AGD,5420.8,brak,bezrobotny,25-35,K,k,>8 lat,polisa,65,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,36,opóźnienia,rehabilitacja,2734.2,brak,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,59,brak,własne,jeden,specjalista/samozatr.,Test
dobry,>$300,24,brak,inny,5259.8,brak,Ponad 8,< 15,K,k,>8 lat,nieruchomość,60,brak,własne,jeden,wykfalifikowany,Uczenie
dobry,debet,12,spłacone,nowy samochód,2604,brak,bezrobotny,< 15,MS,m,1-5 lat,polisa,32,brak,wynajem,2- 4,specjalista/samozatr.,Uczenie
dobry,>$300,12,brak,używany samochód,2203.6,brak,1 do 5 lat,< 15,MS,m,1-5 lat,brak,48,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,18,bez problemów,AGD,8685.6,brak,1 do 5 lat,25-35,MS,m,>8 lat,brak,42,brak,wynajem,jeden,niewykfalifikowany stała praca,Test
zły,brak,18,brak,używany samochód,3462.2,brak,bezrobotny,< 15,MS,m,Do roku,polisa,23,brak,wynajem,jeden,niewykfalifikowany bez stałej pracy,Uczenie
zły,brak,18,brak,używany samochód,1583.4,brak,bezrobotny,< 15,K,k,1-5 lat,polisa,31,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,21,inny bank,inny,2305.8,>1400,1 do 5 lat,< 15,MS,m,1-5 lat,samochód,38,inny bank,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,>$300,24,spłacone,używany samochód,7210,brak,Ponad 8,< 15,MS,m,>8 lat,polisa,31,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,36,brak,inny,17344.6,>1400,1 do 5 lat,> 35,MS,m,>8 lat,nieruchomość,35,inny bank,własne,jeden,wykfalifikowany,Uczenie
zły,brak,24,brak,inny,3224.2,brak,Ponad 8,< 15,MS,m,Do roku,brak,43,brak,wynajem,jeden,wykfalifikowany,Test
zły,debet,15,opóźnienia,inny,2489.2,brak,do roku,25-35,K,k,Do roku,brak,24,brak,inne,2- 4,niewykfalifikowany bez stałej pracy,Uczenie
dobry,>$300,36,bez problemów,meble,6235.6,brak,1 do 5 lat,< 15,K,k,>8 lat,brak,32,brak,wynajem,2- 4,wykfalifikowany,Uczenie
zły,debet,24,brak,inny,1744.4,brak,do roku,< 15,MS,m,1-5 lat,brak,21,inny bank,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,<= $300,15,brak,remont,548.8,brak,do roku,< 15,K,k,>8 lat,samochód,21,brak,inne,jeden,wykfalifikowany,Uczenie
dobry,>$300,12,spłacone,inny,1296.4,brak,bezrobotny,> 35,K,k,1-5 lat,samochód,36,brak,wynajem,jeden,niewykfalifikowany bez stałej pracy,Uczenie
zły,brak,24,brak,inny,6743.8,brak,5 do 8 lat,25-35,MS,m,5-8 lat,samochód,29,brak,wynajem,jeden,wykfalifikowany,Test
dobry,debet,12,spłacone,używany samochód,5063.8,brak,Ponad 8,> 35,MS,m,>8 lat,polisa,26,brak,inne,5- 6,wykfalifikowany,Uczenie
dobry,>$300,10,brak,inny,2164.4,brak,1 do 5 lat,15- 25,MS,m,1-5 lat,brak,29,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
zły,debet,18,spłacone,meble,1743,brak,1 do 5 lat,< 15,MŻW,m,1-5 lat,polisa,31,brak,wynajem,jeden,wykfalifikowany,Test
zły,brak,24,brak,meble,3414.6,brak,do roku,< 15,K,k,>8 lat,brak,33,brak,wynajem,jeden,wykfalifikowany,Test
dobry,brak,12,spłacone,nowy samochód,2136.4,brak,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,64,brak,własne,2- 4,specjalista/samozatr.,Uczenie
dobry,brak,18,spłacone,meble,2632,brak,5 do 8 lat,< 15,MŻW,m,Do roku,samochód,30,brak,wynajem,2- 4,specjalista/samozatr.,Uczenie
dobry,debet,6,brak,meble,1054.2,brak,1 do 5 lat,25-35,K,k,5-8 lat,brak,62,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,15,brak,meble,1122.8,brak,Ponad 8,< 15,MS,m,5-8 lat,polisa,35,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,6,inny bank,remont,1677.2,brak,Ponad 8,< 15,K,k,>8 lat,nieruchomość,33,brak,własne,jeden,wykfalifikowany,Test
dobry,>$300,30,bez problemów,rehabilitacja,5980.8,<140,1 do 5 lat,25-35,MS,m,1-5 lat,samochód,24,brak,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
zły,brak,12,brak,inny,1260,>1400,1 do 5 lat,< 15,MŻW,m,1-5 lat,polisa,21,brak,wynajem,jeden,wykfalifikowany,Test
zły,brak,12,brak,inny,1062.6,brak,5 do 8 lat,< 15,MS,m,1-5 lat,brak,24,brak,wynajem,jeden,wykfalifikowany,Test
zły,>$300,21,spłacone,inny,17752,>1400,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,28,brak,własne,jeden,specjalista/samozatr.,Uczenie
zły,debet,30,spłacone,inny,7327.6,brak,bezrobotny,< 15,MŻW,m,1-5 lat,polisa,26,brak,wynajem,2- 4,specjalista/samozatr.,Test
dobry,debet,12,brak,meble,4102,brak,5 do 8 lat,25-35,K,k,Do roku,brak,25,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,<= $300,12,brak,używany samochód,3151.4,brak,1 do 5 lat,> 35,K,k,1-5 lat,polisa,44,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,36,opóźnienia,AGD,3658.2,brak,1 do 5 lat,< 15,MS,m,1-5 lat,polisa,25,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,brak,10,spłacone,używany samochód,2984.8,>1400,do roku,25-35,K,k,5-8 lat,brak,25,brak,inne,2- 4,wykfalifikowany,Uczenie
dobry,debet,12,spłacone,nowy samochód,2525.6,<140,do roku,15- 25,MS,m,>8 lat,samochód,42,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,24,bez problemów,rehabilitacja,3325,140-700,1 do 5 lat,< 15,MS,m,1-5 lat,polisa,42,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,>$300,30,spłacone,meble,3963.4,brak,1 do 5 lat,< 15,K,k,1-5 lat,polisa,31,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,12,brak,meble,1766.8,brak,1 do 5 lat,15- 25,MS,m,1-5 lat,polisa,23,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,6,spłacone,meble,2657.2,>1400,1 do 5 lat,> 35,MS,m,1-5 lat,brak,32,brak,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,debet,12,brak,używany samochód,1376.2,700-1400,do roku,> 35,K,k,>8 lat,brak,18,brak,inne,jeden,niewykfalifikowany stała praca,Test
dobry,brak,12,brak,używany samochód,5026,brak,1 do 5 lat,25-35,MS,m,1-5 lat,samochód,27,brak,wynajem,jeden,niewykfalifikowany stała praca,Test
dobry,debet,12,opóźnienia,wakacje,1974,brak,1 do 5 lat,25-35,MS,m,1-5 lat,brak,29,brak,wynajem,jeden,niewykfalifikowany stała praca,Test
zły,debet,6,bez problemów,inny,1692.6,brak,bezrobotny,< 15,MS,m,>8 lat,samochód,45,brak,wynajem,jeden,specjalista/samozatr.,Test
dobry,>$300,12,spłacone,inny,1628.2,140-700,1 do 5 lat,< 15,MS,m,>8 lat,brak,42,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,12,brak,inny,1920.8,brak,5 do 8 lat,25-35,MR,m,5-8 lat,polisa,34,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,36,brak,inny,20045.2,brak,Ponad 8,< 15,MS,m,1-5 lat,nieruchomość,55,brak,własne,jeden,specjalista/samozatr.,Uczenie
dobry,>$300,54,opóźnienia,nowy samochód,13210.4,>1400,1 do 5 lat,25-35,MS,m,1-5 lat,samochód,37,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,brak,6,brak,nowy samochód,1892.8,140-700,bezrobotny,> 35,K,k,1-5 lat,samochód,21,brak,inne,jeden,niewykfalifikowany bez stałej pracy,Test
dobry,debet,14,brak,rehabilitacja,1974,140-700,Ponad 8,> 35,MŻW,m,1-5 lat,brak,33,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,36,brak,inny,4310.6,>1400,1 do 5 lat,< 15,MS,m,>8 lat,brak,34,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,24,brak,meble,2146.2,brak,do roku,< 15,K,k,5-8 lat,polisa,36,sklep,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,12,brak,inny,3610.6,brak,do roku,< 15,MS,m,Do roku,brak,31,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
zły,brak,36,brak,używany samochód,4824.4,brak,Ponad 8,< 15,MS,m,1-5 lat,polisa,40,brak,wynajem,jeden,wykfalifikowany,Test
zły,>$300,12,brak,używany samochód,1572.2,140-700,1 do 5 lat,< 15,K,k,>8 lat,polisa,27,brak,inne,jeden,niewykfalifikowany stała praca,Uczenie
dobry,debet,30,bez problemów,rehabilitacja,3504.2,<140,Ponad 8,< 15,MS,m,1-5 lat,samochód,39,sklep,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,>$300,36,spłacone,nowy samochód,14667.8,>1400,Ponad 8,25-35,MS,m,>8 lat,nieruchomość,40,brak,własne,2- 4,wykfalifikowany,Uczenie
dobry,>$300,24,brak,nowy samochód,3750.6,brak,do roku,< 15,K,k,Do roku,nieruchomość,27,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
dobry,>$300,6,brak,RTV,1873.2,140-700,1 do 5 lat,> 35,MR,m,>8 lat,brak,60,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,brak,24,spłacone,meble,1723.4,700-1400,Ponad 8,< 15,K,k,>8 lat,samochód,55,brak,inne,2- 4,specjalista/samozatr.,Uczenie
dobry,debet,18,spłacone,używany samochód,10323.6,brak,bezrobotny,< 15,MS,m,>8 lat,samochód,38,sklep,wynajem,2- 4,specjalista/samozatr.,Test
dobry,>$300,15,brak,RTV,1223.6,>1400,do roku,< 15,K,k,Do roku,brak,22,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,brak,20,brak,używany samochód,3096.8,>1400,5 do 8 lat,< 15,MS,m,>8 lat,polisa,37,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,18,brak,meble,4498.2,140-700,do roku,> 35,MŻW,m,5-8 lat,brak,23,brak,inne,jeden,wykfalifikowany,Uczenie
zły,brak,36,brak,nowy samochód,11520.6,brak,1 do 5 lat,25-35,MS,m,1-5 lat,samochód,24,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,debet,42,spłacone,rehabilitacja,8335.6,brak,5 do 8 lat,25-35,K,k,Do roku,brak,39,inny bank,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,brak,6,spłacone,inny,5146.4,brak,1 do 5 lat,> 35,MS,m,5-8 lat,brak,35,brak,inne,5- 6,wykfalifikowany,Uczenie
zły,debet,12,brak,AGD,894.6,brak,1 do 5 lat,< 15,MS,m,1-5 lat,polisa,28,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,18,spłacone,inny,1439.2,brak,1 do 5 lat,< 15,K,k,5-8 lat,brak,34,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,>$300,48,inny bank,rehabilitacja,5052.6,brak,1 do 5 lat,> 35,K,k,Do roku,brak,25,sklep,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,18,brak,używany samochód,2854.6,brak,1 do 5 lat,> 35,K,k,>8 lat,brak,18,brak,inne,jeden,wykfalifikowany,Uczenie
dobry,debet,12,brak,inny,1845.2,700-1400,Ponad 8,< 15,MS,m,>8 lat,brak,52,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,27,bez problemów,nowy samochód,12058.2,700-1400,1 do 5 lat,25-35,MS,m,1-5 lat,polisa,25,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,brak,12,spłacone,inny,2970.8,brak,1 do 5 lat,15- 25,MS,m,1-5 lat,brak,37,brak,inne,2- 4,niewykfalifikowany stała praca,Test
dobry,brak,12,brak,używany samochód,2601.2,brak,do roku,< 15,K,k,Do roku,polisa,20,brak,inne,jeden,wykfalifikowany,Test
dobry,>$300,28,spłacone,meble,3840.2,brak,Ponad 8,< 15,MS,m,1-5 lat,polisa,27,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,>$300,12,brak,meble,2997.4,<140,5 do 8 lat,15- 25,MS,m,Do roku,nieruchomość,33,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,12,spłacone,meble,730.8,140-700,Ponad 8,< 15,MS,m,>8 lat,samochód,40,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,>$300,7,spłacone,meble,1022,>1400,Ponad 8,< 15,MS,m,1-5 lat,samochód,44,brak,inne,2- 4,niewykfalifikowany stała praca,Test
dobry,>$300,24,spłacone,meble,3112.2,<140,Ponad 8,< 15,MS,m,>8 lat,samochód,50,inny bank,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,>$300,10,brak,inny,1801.8,>1400,Ponad 8,< 15,MS,m,1-5 lat,samochód,43,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
zły,<= $300,15,brak,meble,3257.8,brak,do roku,25-35,K,k,5-8 lat,brak,23,brak,wynajem,jeden,niewykfalifikowany stała praca,Test
zły,brak,12,brak,używany samochód,11011,brak,Ponad 8,< 15,MS,m,>8 lat,nieruchomość,51,brak,własne,jeden,specjalista/samozatr.,Uczenie
zły,debet,24,brak,meble,4328.8,<140,do roku,15- 25,MŻW,m,1-5 lat,polisa,20,brak,inne,jeden,wykfalifikowany,Uczenie
zły,brak,12,brak,meble,992.6,brak,Ponad 8,< 15,MS,m,>8 lat,brak,55,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,debet,18,spłacone,używany samochód,1813,brak,do roku,< 15,K,k,Do roku,samochód,25,brak,wynajem,2- 4,wykfalifikowany,Uczenie
zły,brak,24,brak,inny,4372.2,brak,do roku,< 15,K,k,Do roku,samochód,25,brak,wynajem,jeden,wykfalifikowany,Test
dobry,debet,12,spłacone,RTV,1993.6,brak,5 do 8 lat,< 15,MS,m,5-8 lat,samochód,24,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,18,brak,używany samochód,3446.8,brak,1 do 5 lat,25-35,MS,m,1-5 lat,polisa,20,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,18,brak,używany samochód,3521,brak,1 do 5 lat,15- 25,MS,m,>8 lat,brak,41,brak,wynajem,jeden,wykfalifikowany,Test
dobry,>$300,36,spłacone,meble,4678.8,>1400,Ponad 8,< 15,MS,m,1-5 lat,polisa,49,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,45,spłacone,meble,6644.4,brak,do roku,< 15,MS,m,1-5 lat,samochód,22,inny bank,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
dobry,debet,6,brak,meble,1495.2,brak,Ponad 8,< 15,MS,m,>8 lat,polisa,26,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,24,spłacone,nowy samochód,9578.8,>1400,1 do 5 lat,25-35,MS,m,>8 lat,samochód,44,brak,wynajem,2- 4,specjalista/samozatr.,Uczenie
zły,>$300,48,brak,rehabilitacja,6781.6,brak,bezrobotny,15- 25,MS,m,1-5 lat,polisa,31,brak,inne,jeden,specjalista/samozatr.,Test
dobry,>$300,12,brak,nowy samochód,6545,>1400,do roku,> 35,K,k,>8 lat,polisa,18,brak,inne,jeden,wykfalifikowany,Test
dobry,>$300,12,spłacone,remont,4991,>1400,do roku,25-35,MS,m,Do roku,samochód,35,brak,wynajem,2- 4,niewykfalifikowany stała praca,Uczenie
zły,debet,18,brak,nowy samochód,18166.4,brak,bezrobotny,15- 25,K,k,>8 lat,nieruchomość,36,brak,własne,jeden,specjalista/samozatr.,Uczenie
dobry,debet,15,spłacone,rehabilitacja,3256.4,140-700,1 do 5 lat,25-35,MS,m,>8 lat,polisa,25,inny bank,wynajem,jeden,wykfalifikowany,Uczenie
zły,debet,36,bez problemów,inny,11320.4,<140,Ponad 8,25-35,MS,m,>8 lat,polisa,40,sklep,wynajem,7 i więcej,specjalista/samozatr.,Test
zły,brak,12,spłacone,inny,967.4,brak,Ponad 8,< 15,MS,m,5-8 lat,samochód,33,brak,wynajem,2- 4,wykfalifikowany,Uczenie
zły,<= $300,10,brak,inny,1736,<140,Ponad 8,> 35,K,k,>8 lat,nieruchomość,46,brak,własne,jeden,niewykfalifikowany stała praca,Uczenie
zły,brak,12,brak,meble,1017.8,<140,do roku,< 15,MŻW,m,5-8 lat,nieruchomość,31,brak,wynajem,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,12,brak,inny,4937.8,>1400,do roku,25-35,MS,m,5-8 lat,samochód,43,brak,wynajem,jeden,specjalista/samozatr.,Uczenie
zły,brak,24,brak,używany samochód,4527.6,brak,do roku,< 15,K,k,>8 lat,brak,21,brak,inne,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,36,brak,rehabilitacja,10372.6,>1400,Ponad 8,15- 25,MS,m,1-5 lat,samochód,35,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,<= $300,12,brak,meble,4222.4,brak,1 do 5 lat,15- 25,MŻW,m,Do roku,polisa,22,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,10,brak,nowy samochód,3987.2,<140,1 do 5 lat,> 35,MS,m,1-5 lat,brak,30,brak,wynajem,jeden,wykfalifikowany,Uczenie
zły,brak,24,brak,meble,2552.2,brak,bezrobotny,< 15,MS,m,1-5 lat,polisa,28,sklep,wynajem,jeden,specjalista/samozatr.,Test
dobry,brak,18,brak,używany samochód,3722.6,700-1400,1 do 5 lat,< 15,MS,m,1-5 lat,polisa,26,brak,wynajem,jeden,wykfalifikowany,Test
zły,brak,24,opóźnienia,używany samochód,5754,brak,Ponad 8,15- 25,MS,m,>8 lat,nieruchomość,21,inny bank,inne,2- 4,wykfalifikowany,Uczenie
dobry,>$300,4,spłacone,inny,2037,brak,5 do 8 lat,25-35,MS,m,Do roku,brak,40,brak,wynajem,5- 6,niewykfalifikowany stała praca,Uczenie
zły,brak,24,inny bank,meble,2164.4,brak,5 do 8 lat,< 15,MS,m,>8 lat,polisa,22,inny bank,inne,jeden,niewykfalifikowany stała praca,Uczenie
dobry,>$300,36,brak,nowy samochód,11386.2,brak,1 do 5 lat,> 35,K,k,1-5 lat,samochód,28,inny bank,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,18,spłacone,meble,1608.6,700-1400,1 do 5 lat,< 15,MS,m,5-8 lat,brak,44,brak,wynajem,2- 4,wykfalifikowany,Test
dobry,brak,12,inny bank,wakacje,474.6,brak,Ponad 8,< 15,MŻW,m,Do roku,polisa,43,inny bank,wynajem,jeden,niewykfalifikowany stała praca,Test
dobry,brak,18,brak,meble,2710.4,>1400,5 do 8 lat,25-35,MŻW,m,>8 lat,polisa,21,brak,inne,2- 4,niewykfalifikowany stała praca,Test
dobry,brak,24,spłacone,nowy samochód,4139.8,brak,Ponad 8,< 15,MS,m,>8 lat,samochód,61,brak,wynajem,2- 4,wykfalifikowany,Uczenie
dobry,brak,15,brak,rehabilitacja,1128.4,brak,1 do 5 lat,< 15,K,k,>8 lat,samochód,20,brak,wynajem,jeden,niewykfalifikowany stała praca,Test
dobry,>$300,30,spłacone,meble,6342,brak,5 do 8 lat,< 15,K,k,>8 lat,polisa,24,brak,inne,jeden,specjalista/samozatr.,Uczenie
dobry,debet,11,bez problemów,meble,6679.4,brak,5 do 8 lat,25-35,MS,m,>8 lat,samochód,49,brak,wynajem,jeden,wykfalifikowany,Uczenie
dobry,>$300,12,brak,meble,3039.4,brak,do roku,25-35,K,k,1-5 lat,polisa,27,inny bank,wynajem,jeden,wykfalifikowany,Uczenie
